b'Date,Open,High,Low,Close,Volume,Adj Close 
2017-03-09,5834.669922,5852.540039,5812.080078,5838.810059,1883930000,5838.810059 
2017-03-08,5838.439941,5860.629883,5832.629883,5837.549805,1810480000,5837.549805 
2017-03-07,5836.120117,5859.77002,5826.319824,5833.930176,1822000000,5833.930176 
2017-03-06,5846.419922,5857.740234,5827.459961,5849.180176,1767840000,5849.180176 
2017-03-03,5854.27002,5870.75,5841.470215,5870.75,1852130000,5870.75 
2017-03-02,5897.009766,5897.009766,5856.299805,5861.220215,2040770000,5861.220215 
2017-03-01,5874.859863,5911.790039,5865.790039,5904.029785,2210360000,5904.029785 
2017-02-28,5852.790039,5855.069824,5817.220215,5825.439941,2298380000,5825.439941 
2017-02-27,5835.040039,5861.899902,5827.00,5861.899902,1876090000,5861.899902 
2017-02-24,5802.330078,5845.310059,5800.549805,5845.310059,1683280000,5845.310059 
2017-02-23,5866.819824,5866.959961,5809.549805,5835.509766,1879670000,5835.509766 
2017-02-22,5857.560059,5864.419922,5848.279785,5860.629883,1872330000,5860.629883 
2017-02-21,5850.200195,5867.890137,5847.50,5865.950195,1935110000,5865.950195 
2017-02-17,5807.310059,5838.580078,5800.799805,5838.580078,1875580000,5838.580078 
2017-02-16,5823.009766,5835.149902,5796.709961,5814.899902,1943600000,5814.899902 
2017-02-15,5777.899902,5821.950195,5776.700195,5819.439941,2083660000,5819.439941 
2017-02-14,5756.509766,5783.089844,5748.740234,5782.569824,1945160000,5782.569824 
2017-02-13,5753.189941,5770.990234,5751.919922,5763.959961,1840010000,5763.959961 
2017-02-10,5726.169922,5743.430176,5717.419922,5734.129883,1852010000,5734.129883 
' 
